,listing_id,english_review,compound,negativity,neutrality,positivity,polarity,subjectivity,weight_polar,review_length,negative_comp,most_negative,smallest_polarity,most_positive,highest_polarity,sum_of_english_review,sum_of_compound,sum_of_negativity,sum_of_negative_comp
3380,27049475,0.8382352941176471,0.7049397058823528,0.01335294117647059,0.6607352941176471,0.3258970588235294,0.3393921221422032,0.616147726834632,0.11467197999735135,249.0441176470588,0.029411764705882353,0.0,-0.8,0.781,1.0,57,47.93589999999999,0.9080000000000001,2
3381,27052436,0.7465437788018433,0.7444147465437791,0.007705069124423963,0.6191981566820275,0.36388018433179725,0.4095709815909165,0.6349627661941589,0.11788756209188134,154.38248847926266,0.018433179723502304,0.0,-0.12023809523809521,0.866,1.0,162,161.53800000000007,1.672,4
3382,27053415,0.6470588235294118,0.7069000000000001,0.029235294117647057,0.643058823529412,0.327764705882353,0.38214640343316814,0.6580046565634801,0.10832405365917461,272.1764705882353,0.058823529411764705,0.0,-0.39999999999999997,0.722,0.9,11,12.0173,0.497,1
3383,27053992,0.7368421052631579,0.8179368421052632,0.012,0.6962105263157894,0.29184210526315785,0.3566861933144827,0.5760623915558126,0.1317775181294853,384.4736842105263,0.0,0.0,0.0,0.483,0.7125,14,15.5408,0.228,0
3384,27055788,0.8421052631578947,0.7056289473684213,0.012578947368421054,0.5261842105263157,0.3822105263157895,0.3625048931853443,0.5361126626089031,0.11713417722861497,131.89473684210526,0.0,0.0,0.0,0.76,0.855,32,26.813900000000007,0.47800000000000004,0
3385,27057791,0.9333333333333333,0.8296066666666666,0.007200000000000001,0.6474,0.3454,0.4447765838658696,0.6292993512219702,0.12486234089758576,238.46666666666667,0.0,0.0,0.0,0.667,1.0,14,12.444099999999999,0.10800000000000001,0
3386,27059337,0.9285714285714286,0.06001428571428571,0.0,0.10271428571428572,0.04014285714285715,0.016071428571428566,0.06488095238095239,0.003953373015873013,7.571428571428571,0.07142857142857142,0.0,-0.16666666666666666,0.562,0.3916666666666666,13,0.8402,0.0,1
3387,27074481,1.0,0.8829333333333333,0.0,0.6413333333333333,0.3586666666666667,0.4000811688311689,0.605707671957672,0.14562434016325385,163.0,0.0,0.0,0.24708333333333332,0.448,0.6258333333333334,3,2.6488,0.0,0
3388,27080279,1.0,-0.2498,0.282,0.544,0.174,0.7041666666666667,1.0,0.0,61.0,0.0,0.282,0.7041666666666667,0.174,0.7041666666666667,1,-0.2498,0.282,0
3389,27080487,1.0,0.6451,0.002125,0.73625,0.261625,0.33568159288287963,0.5021494110464699,0.09838987634186104,252.125,0.0,0.0,0.0,0.806,0.9,8,5.1608,0.017,0
3390,27099983,1.0,0.908225,0.01175,0.63575,0.3525,0.40484375,0.5683035714285715,0.15379910714285713,242.75,0.0,0.0,0.25,0.57,0.7000000000000001,4,3.6329,0.047,0
3391,27102063,0.8472222222222222,0.7668819444444444,0.016597222222222225,0.6220833333333334,0.33356944444444464,0.35400373943240987,0.5441948485186823,0.13191800190547048,242.13888888888889,0.027777777777777776,0.0,-0.09999999999999998,0.884,0.8,61,55.21549999999999,1.1950000000000003,2
3392,27105451,1.0,0.9419599999999999,0.0,0.7144,0.28559999999999997,0.305242205605842,0.5203943329397875,0.14423027781685588,325.4,0.0,0.0,0.1142857142857143,0.522,0.43888888888888894,5,4.7097999999999995,0.0,0
3393,27110638,0.0,0.8689,0.0,0.338,0.662,0.6999999999999998,0.7833333333333333,0.15166666666666664,60.0,0.0,0.0,0.6999999999999998,0.662,0.6999999999999998,0,0.8689,0.0,0
3394,27110789,0.5,0.7844874999999999,0.01625,0.702375,0.281375,0.4262152777777778,0.6679224537037036,0.11050747010030862,191.625,0.0,0.0,0.042499999999999996,0.395,0.8166666666666667,4,6.275899999999999,0.13,0
3395,27123432,0.6666666666666666,0.6810222222222222,0.03766666666666666,0.5616666666666666,0.40077777777777773,0.5242186280797392,0.7159362139917695,0.13009139829451963,176.11111111111111,0.0,0.0,0.13571428571428573,1.0,1.0,6,6.1292,0.33899999999999997,0
3396,27123796,0.8258426966292135,0.7803337078651684,0.009719101123595506,0.5584999999999998,0.4318033707865168,0.4499175887055102,0.6773317189209043,0.12638995692031477,133.4494382022472,0.011235955056179775,0.0,-0.5,1.0,1.0,147,138.89939999999999,1.7300000000000002,2
3397,27135294,0.8,0.81396,0.0108,0.55,0.43900000000000006,0.5007499999999999,0.6931269841269841,0.11405484567901233,119.2,0.0,0.0,0.22944444444444445,0.552,1.0,4,4.0698,0.054,0
3398,27160796,0.7272727272727273,0.8233454545454545,0.011727272727272727,0.6607272727272727,0.32763636363636367,0.42717622655122656,0.640698051948052,0.11967432780719611,284.3636363636364,0.0,0.0,0.061250000000000006,1.0,1.0,8,9.056799999999999,0.129,0
3399,27162955,1.0,0.9539,0.0,0.546,0.454,0.78,0.8450000000000001,0.12089999999999994,161.0,0.0,0.0,0.78,0.454,0.78,1,0.9539,0.0,0
3400,27165074,1.0,0.9085000000000001,0.0,0.6567142857142857,0.34328571428571436,0.3896472033257747,0.5542891156462585,0.164187048271425,238.42857142857142,0.0,0.0,0.14833333333333334,0.555,0.6,7,6.359500000000001,0.0,0
3401,27167045,1.0,0.0,0.0,1.0,0.0,0.05,0.08333333333333334,0.04583333333333334,90.0,0.0,0.0,0.05,0.0,0.05,1,0.0,0.0,0
3402,27180433,0.6153846153846154,0.7383307692307692,0.019153846153846153,0.6223076923076925,0.35857692307692296,0.3994604515854515,0.674010896866666,0.1247828218894411,175.26923076923077,0.0,0.0,0.0,0.815,1.0,16,19.1966,0.498,0
3403,27192227,0.8,0.7226200000000003,0.016290909090909085,0.6546545454545455,0.3169151515151516,0.37880555116539305,0.6015058442964666,0.12523848441140295,191.20606060606062,0.03636363636363636,0.0,-0.7,0.906,1.0,132,119.23230000000005,2.6879999999999993,6
3404,27192268,0.8723404255319149,0.8945361702127658,0.005074468085106383,0.6034574468085105,0.3914893617021277,0.4484184467038999,0.6453214295941307,0.14060689395097825,229.5531914893617,0.0,0.0,0.0,1.0,1.0,82,84.08639999999998,0.47700000000000004,0
3405,27193074,0.8333333333333334,0.8379083333333334,0.005166666666666667,0.6906666666666665,0.3041666666666667,0.4446397156084656,0.6352989969135803,0.10644365933948167,196.16666666666666,0.0,0.0,0.0,0.501,0.8666666666666667,10,10.0549,0.062,0
