,id,price,log_price
6308,49242701,117.0,4.762173934797756
6309,49243153,1570.0,7.358830898342354
6310,49243160,1570.0,7.358830898342354
6311,49243169,1570.0,7.358830898342354
6312,49243182,1570.0,7.358830898342354
6313,49264443,80.0,4.382026634673881
6314,49268908,216.0,5.375278407684165
6315,49286475,80.0,4.382026634673881
6316,49287070,85.0,4.442651256490317
6317,49293113,300.0,5.703782474656201
6318,49309825,116.0,4.7535901911063645
6319,49310324,110.0,4.700480365792417
6320,49311864,115.0,4.74493212836325
6321,49412404,175.0,5.1647859739235145
6322,49437320,1570.0,7.358830898342354
6323,49437334,1570.0,7.358830898342354
6324,49437379,1570.0,7.358830898342354
6325,49437396,1570.0,7.358830898342354
6326,49437409,1570.0,7.358830898342354
6327,49437444,1570.0,7.358830898342354
6328,49437462,1570.0,7.358830898342354
6329,49437530,1570.0,7.358830898342354
6330,49437618,1570.0,7.358830898342354
6331,49437638,1570.0,7.358830898342354
6332,49439284,1570.0,7.358830898342354
6333,49439301,1570.0,7.358830898342354
6334,49454436,1570.0,7.358830898342354
6335,49456241,1570.0,7.358830898342354
6336,49456257,1570.0,7.358830898342354
6337,49456270,1570.0,7.358830898342354
6338,49456279,1570.0,7.358830898342354
6339,49456290,1570.0,7.358830898342354
6340,49456302,1570.0,7.358830898342354
6341,49456314,1570.0,7.358830898342354
6342,49475164,125.0,4.8283137373023015
6343,49480472,255.0,5.541263545158426
6344,49492198,75.0,4.31748811353631
6345,49493546,250.0,5.521460917862246
6346,49495037,118.0,4.770684624465665
6347,49515078,146.0,4.983606621708336
6348,49515839,120.0,4.787491742782046
6349,49526913,160.0,5.075173815233827
6350,49540784,130.0,4.867534450455582
6351,49581065,53.0,3.970291913552122
6352,49590681,150.0,5.0106352940962555
6353,49607022,249.0,5.517452896464707
6354,49608857,80.0,4.382026634673881
6355,49630748,93.0,4.532599493153256
6356,49632123,165.0,5.10594547390058
6357,49649859,63.0,4.143134726391533
6358,49650834,174.0,5.159055299214529
6359,49665410,130.0,4.867534450455582
6360,49670306,98.0,4.584967478670572
6361,49683897,250.0,5.521460917862246
6362,49687964,25.0,3.2188758248682006
6363,49689236,59.0,4.07753744390572
6364,49689495,55.0,4.007333185232471
6365,49705330,120.0,4.787491742782046
6366,49707122,124.0,4.820281565605037
6367,49707645,200.0,5.298317366548036
6368,49735516,50.0,3.912023005428146
6369,49744528,1570.0,7.358830898342354
6370,49744551,1570.0,7.358830898342354
6371,49744580,1570.0,7.358830898342354
6372,49746355,40.0,3.6888794541139363
6373,49749501,50.0,3.912023005428146
6374,49750555,110.0,4.700480365792417
6375,49772612,140.0,4.941642422609304
6376,49788692,142.0,4.955827057601261
6377,49794067,153.0,5.030437921392435
6378,49807619,100.0,4.605170185988092
6379,49809165,120.0,4.787491742782046
6380,49811801,56.0,4.02535169073515
6381,49821658,120.0,4.787491742782046
6382,49838070,275.0,5.616771097666572
6383,49848349,145.0,4.976733742420574
6384,49856320,45.0,3.8066624897703196
6385,49895945,54.0,3.9889840465642745
6386,49898530,148.0,4.997212273764115
6387,49899101,145.0,4.976733742420574
6388,49899108,145.0,4.976733742420574
6389,49899129,1493.0,7.30854279753919
6390,49899148,1493.0,7.30854279753919
6391,49901048,67.0,4.204692619390966
6392,49901162,69.0,4.23410650459726
6393,49901245,65.0,4.174387269895637
6394,49901385,64.0,4.1588830833596715
6395,49901406,67.0,4.204692619390966
6396,49901424,65.0,4.174387269895637
6397,49923880,199.0,5.293304824724492
6398,49940874,55.0,4.007333185232471
6399,49940890,62.0,4.127134385045092
