,Dropout,L2,Nodes,Val_MSE,Val_Rsq,Train_MSE,Train_Rsq
0,0.0,0.0,64,0.3401568830013275,0.15845268964767456,0.009895050898194313,0.9752134919166565
1,0.0,0.0,512,0.32046180963516235,0.21245355606079103,0.008251727931201458,0.9793898820877075
2,0.0,0.01,64,0.47260352969169617,0.15660934448242186,0.19508472383022307,0.7806431651115417
3,0.0,0.01,512,0.5534117460250855,0.19639047384262084,0.29337963461875916,0.7175993919372559
4,0.0,0.001,64,0.40030593872070314,0.15974230766296388,0.08504783809185028,0.9051255583763123
5,0.0,0.001,512,0.42316184639930726,0.1650216042995453,0.11501852422952652,0.8874674797058105
6,0.2,0.0,64,0.30853756666183474,0.25144112706184385,0.29943802356719973,0.27260532081127165
7,0.2,0.0,512,0.3054443418979645,0.25606435537338257,0.28620362281799316,0.3044509649276733
8,0.2,0.01,64,0.625010347366333,0.2272500365972519,0.7567677021026611,-0.06380615159869193
9,0.2,0.01,512,0.8964306712150574,0.21552897691726686,1.0930911302566528,-0.17611104846000672
10,0.2,0.001,64,0.48712692260742185,0.2343879222869873,0.5187809228897095,0.14512311816215515
11,0.2,0.001,512,0.6093110203742981,0.23549993634223937,0.6644447684288025,0.10520185362547636
12,0.5,0.0,64,0.3436867296695709,0.16717972755432128,0.7485882639884949,-0.8307112455368042
13,0.5,0.0,512,0.34305295944213865,0.16349056959152222,0.7136572957038879,-0.7424741983413696
14,0.5,0.01,64,0.809307873249054,0.0912181556224823,1.2745292901992797,-1.046672558784485
15,0.5,0.01,512,1.2591004610061645,0.08990956321358681,1.75210440158844,-0.9904381990432739
16,0.5,0.001,64,0.6069317936897278,0.11744557917118073,1.0174597144126891,-0.8812572479248046
17,0.5,0.001,512,0.8175123929977417,0.12050684541463852,1.2579221248626709,-0.9141589999198914
