id,no_img_bathroom,no_img_bedroom,no_img_dining,no_img_hallway,no_img_kitchen,no_img_living,no_img_others,count,brightness,contrast
14236149,0,3,1,3,2,1,0,10,123.03051609117799,1.0
14265767,3,6,0,1,4,2,4,20,148.19338404567628,0.9933809347557041
14271440,0,4,0,0,0,0,2,6,132.14924018830635,1.0
14279030,1,2,1,3,1,1,2,11,101.11437950231597,0.9950339361513972
14288192,5,7,0,0,2,3,1,18,112.26674150936486,0.9982604713473316
14290118,4,7,0,2,2,1,3,19,163.8042784812771,0.9995888157894737
14296910,1,2,1,0,1,2,1,8,117.83353274498457,1.0
14298002,1,2,0,1,2,4,1,11,116.75176675844637,0.9978748452423063
14325325,2,2,0,0,1,3,2,10,119.48673556419772,0.99921875
1434387,2,5,1,0,6,3,23,40,125.55934939011024,0.9934427950782523
14343891,1,0,0,0,2,3,0,6,101.88414207439978,1.0
14345584,0,6,0,0,3,0,0,9,95.80853056576285,0.9905316729854667
14438574,6,3,0,1,1,1,13,25,129.32196437841486,0.9978935185185185
14445687,0,2,0,0,1,2,0,5,131.98088419495883,0.9984375
14455499,0,2,1,1,2,1,3,10,117.57397254876498,1.0
14478238,3,4,0,2,2,1,0,12,127.77797765319195,0.9805004622463022
14485427,2,7,0,0,1,1,1,12,106.26371225951446,0.9948960321246819
14493738,2,1,2,1,7,0,0,13,138.30921687772332,1.0
14501222,3,4,2,0,4,4,4,21,116.3435822917357,0.9996279761904762
14530632,1,5,0,0,1,1,1,9,125.78654392879088,0.9991319444444444
14540215,0,1,0,0,1,3,0,5,123.35807812916141,0.9906734967423763
14543049,4,3,1,1,4,2,2,17,121.70228448015007,0.9781404006735421
14545015,4,3,0,0,1,2,3,13,100.39536539945395,1.0
14548527,3,1,0,0,0,5,3,12,118.96521028593598,0.9785477195292464
14549330,1,0,0,0,1,0,0,2,148.92640046296296,0.9959677419354839
14569075,2,2,1,2,3,5,6,21,151.9364589332757,1.0
14578724,5,4,0,0,3,3,1,16,141.7136958103554,0.99951171875
14601906,0,2,0,0,3,2,1,8,115.15824393178838,0.996116460755814
14603726,9,4,2,0,2,1,8,26,134.17433449045888,0.997974537037037
14604647,4,7,0,0,0,0,0,11,124.94715903245415,0.9882461957397853
14609810,2,5,1,3,4,1,0,16,121.50567780671297,1.0
14612784,1,0,0,0,0,0,0,1,69.2480787037037,1.0
14620588,7,6,0,0,4,1,0,18,185.29470814055327,0.9995659722222222
1463032,4,3,0,0,0,4,2,13,176.99931789029927,0.9912387715960058
14651423,1,1,0,0,1,3,0,6,89.87169530714164,0.9986979166666666
14662950,0,1,0,0,0,0,0,1,107.3941970486111,0.9921875
14666754,0,1,0,0,3,2,1,7,68.69424611693493,1.0
14676661,2,1,0,1,1,0,1,6,116.8577692847651,0.9961240310077519
14687839,3,6,1,1,2,1,0,14,114.15845427745073,0.9988042091836735
14691675,2,1,0,1,6,1,0,11,132.502068149668,1.0
14706619,2,3,2,0,3,2,2,14,120.77311370179825,0.9977937120794264
14707944,3,5,2,1,5,6,6,28,150.83088213816063,0.9991651177737632
14717954,8,10,2,0,4,6,0,30,146.30330742154877,0.9927751306327273
14726865,1,3,0,0,1,2,1,8,107.03047996070977,0.9970157480314961
14742797,5,5,0,1,4,1,7,23,124.90579220283855,0.9989796462063086
14744702,1,5,0,0,0,4,2,12,112.6687930627882,0.9993489583333334
14745315,1,5,0,2,4,0,8,20,116.98697994938388,0.9988250612745098
14756331,5,15,1,3,4,3,14,45,107.64134252791374,0.9860436631224003
14777767,2,5,0,0,1,3,2,13,144.41211209850064,0.9987980769230769
14780216,3,5,1,1,1,2,0,13,92.76803810788621,0.9928974843347991
1478113,3,3,0,0,1,0,1,8,115.14282138149434,0.9511273282630887
14781132,0,3,0,1,0,2,0,6,147.24312012388546,0.9961038829442282
14784082,2,12,2,1,2,0,1,20,128.5764125581383,0.9988089139344263
14786011,2,2,0,0,1,2,1,8,115.70385480967079,0.9875429352263426
14793725,3,2,0,0,1,5,0,11,126.16538088119995,0.9985795454545454
14795252,1,0,0,0,1,0,0,2,149.70511140046295,1.0
14795264,2,2,0,0,0,0,2,6,131.26063329451333,0.9884611957587097
14795514,0,2,0,0,1,2,1,6,107.9386924140482,0.9886363636363636
14798152,1,1,0,0,1,3,0,6,151.54052179783952,0.9578094449929342
14799094,2,2,0,0,0,2,0,6,133.8795637752915,0.9647719921940826
14799223,2,7,0,0,1,1,5,16,97.22910580230838,1.0
14799578,0,0,0,0,1,0,0,1,65.97705729166667,1.0
1481022,4,5,0,0,3,6,2,20,157.68383720529602,0.999609375
1481834,9,8,2,0,13,5,8,45,146.65697102021068,0.9994832041343669
14818741,8,1,2,0,2,0,2,15,121.13961957276476,0.9969031844518226
14823179,4,4,0,2,2,2,4,18,169.43287220359764,0.9991319444444444
14829017,3,4,0,0,3,3,1,14,140.7368347582088,0.9994419642857143
14831622,5,3,1,2,3,0,0,14,116.53627859799626,0.9961239476269528
14832459,4,6,0,0,3,5,3,21,149.78415181633352,0.9977707522697795
14833212,2,1,0,1,3,0,1,8,151.22375603831276,0.9847817829281568
14835692,2,2,0,0,1,2,2,9,151.50820339887213,0.9991319444444444
14847337,0,2,0,0,0,3,0,5,98.40630429901834,0.9922598938223939
14849415,3,1,0,0,1,3,3,11,132.34163875446697,0.9957495609362255
14854434,7,14,1,3,4,4,8,41,162.9223295966583,0.9791664930593184
14855217,3,3,1,3,3,7,0,20,105.88382241030092,0.9892330582319298
14879312,1,2,0,0,0,0,2,5,107.25962593503513,0.9984189723320158
14882278,1,0,0,1,1,3,5,11,123.65678832960047,0.9985850725150336
14890325,1,1,1,0,1,2,1,7,145.04626143228643,0.9966604710950528
14894264,4,6,0,2,4,5,2,23,100.3379292332036,0.99228759304526
14899873,0,5,0,0,1,0,0,6,136.2942266803841,0.9986979166666666
14908119,2,1,0,0,2,0,0,5,105.83945708760828,0.996875
14910566,2,1,0,0,1,1,1,6,148.70244863696942,0.9986979166666666
14913826,2,4,3,0,2,2,4,17,150.43966409490315,0.9976674493326743
14924307,1,4,0,0,1,0,0,6,131.2680148319616,0.8415316696288847
14925457,2,5,3,0,1,2,0,13,136.8901907772017,0.9987980769230769
14926319,4,5,1,0,3,2,17,32,119.22894976562702,1.0
14928618,2,5,0,2,5,1,1,16,127.55459854439945,0.9974885359360184
14944257,2,0,0,0,1,2,1,6,105.09872342249656,0.9986979166666666
14958067,1,2,0,0,1,1,0,5,114.04394685570988,0.9953002450980393
14963814,2,0,1,0,1,2,2,8,113.56820878310131,0.999
14971260,3,1,0,0,1,5,5,15,111.01380985296639,0.9989583333333333
1497247,1,1,0,0,2,2,0,6,94.75947643389918,0.997314790802213
14976237,1,3,0,0,2,2,1,9,123.69024274119799,0.9443842248251363
14988567,3,4,1,0,1,2,1,12,167.89895631525096,0.9844612771839755
14992014,1,3,0,0,1,1,6,12,114.78438764619322,0.9993489583333334
14997813,3,0,0,0,1,2,1,7,131.02863177910052,0.9917473554062994
15004772,1,7,1,2,1,3,6,21,139.23714767967368,0.9883833340931648
15005315,2,1,0,0,1,1,2,7,104.50805061767743,1.0
15006834,1,0,1,0,1,5,4,12,108.35495594430107,0.992370123290296
15017663,2,8,0,0,1,4,2,17,140.59362983387803,0.9981617647058824
15019568,5,5,0,2,4,1,2,19,177.160596696334,0.9967764413419044
15025839,3,2,1,1,2,2,0,11,139.45863402543958,1.0
15031861,4,2,1,0,2,1,2,12,134.61566304441016,0.9669811320754716
15033248,2,4,0,2,1,1,0,10,161.81820384954045,0.9922327927187806
15040971,2,5,1,0,1,2,1,12,161.6149948320955,0.9967498581387808
15045110,0,0,0,1,1,4,1,7,130.9858756060223,0.9988839285714286
15045264,0,4,0,0,0,1,0,5,129.49627186213993,0.996875
15048367,3,6,0,1,5,4,1,20,151.20028853977024,0.9811785196727321
1505430,5,7,0,0,2,6,19,39,122.20501388003638,0.9974211970513795
15057344,2,4,0,1,1,3,6,17,156.43152813765238,0.9995404411764706
15063664,1,0,0,0,1,0,0,2,141.8777271412037,0.9831627155172413
15067809,2,5,1,0,1,0,1,10,129.36956868891463,0.9960436727223856
15075840,4,8,1,0,5,4,8,30,154.00625069636408,0.99921875
15083785,0,6,0,0,1,1,1,9,110.65321905906148,0.9922346299731548
15084251,1,1,0,0,0,0,0,2,128.44652777777776,0.9806497345559846
15098155,2,7,1,1,1,0,2,14,114.38352460122266,0.9889380512505209
15099347,3,4,0,2,1,0,0,10,111.90200643833384,0.9893186486604606
15117566,2,1,0,0,1,2,1,7,127.59238732613277,0.9987737584304108
15119715,2,3,0,0,1,1,0,7,126.28853165417401,0.9902227050516024
15119858,1,2,0,0,1,2,0,6,134.17884937092765,1.0
15122997,4,2,0,0,2,2,0,10,105.46416550925926,0.9898838981849121
15126194,2,1,0,0,1,1,0,5,139.6561868720734,0.9984375
15137608,2,2,0,1,1,1,0,7,118.01136755778576,0.9988795518207283
15140244,1,0,1,0,1,2,1,6,101.14712920096021,0.9973958333333334
15144006,4,8,0,0,2,4,0,18,122.88595438593468,0.9956545627174669
15146911,2,6,0,0,0,1,1,10,131.61996304333846,1.0
15152410,5,5,0,2,0,1,4,17,167.7042323661443,0.9995404411764706
15155087,2,2,1,1,2,1,1,10,114.76854824138377,0.9969111969111969
15155134,1,1,0,1,1,0,2,6,122.974376821845,0.9509432680882005
15160695,3,8,1,3,3,13,4,35,140.24183674757515,0.9483468803266241
15164048,2,2,0,0,1,2,0,7,128.91565549676662,0.9988839285714286
1518352,2,6,0,0,0,0,3,11,109.22370207282569,0.9985795454545454
15185318,4,3,0,2,1,3,4,17,170.35109331406707,0.9995404411764706
1518980,5,12,1,5,1,3,7,34,117.41402191655457,0.9993079584775086
15192381,2,6,1,0,1,3,6,19,128.64354072200774,0.9983648255813953
15218507,4,2,1,3,1,3,0,14,116.65082820748057,0.9766958948585314
15245010,2,5,1,0,4,3,12,27,122.01279196506135,0.9974313439322636
15248750,1,4,5,1,1,4,0,16,147.38582104503567,1.0
15260579,5,9,2,1,2,0,1,20,122.2581496970316,0.9980435585086747
15266868,1,3,2,1,1,1,3,12,108.70335665562844,0.9987029831387808
15268601,1,6,0,2,2,1,0,12,108.05166258649298,0.9993489583333334
15276864,0,0,0,0,2,1,2,5,111.78909811171124,1.0
15277061,2,2,0,1,1,3,0,9,130.3064262009888,0.9982638888888888
15338455,2,0,0,0,1,3,0,6,109.03364604766803,0.9973958333333334
1534335,2,1,0,0,0,0,4,7,136.3092464451058,0.9945054945054945
1536195,2,3,1,1,2,4,7,20,106.10139545765075,0.9906808035714285
15365309,4,7,2,1,2,1,2,19,98.84061306893176,0.9995888157894737
15367621,0,1,0,0,0,0,0,1,119.093193359375,0.9318181818181818
1537237,3,4,3,0,4,2,3,19,118.06460744598763,0.9896293343678094
15389854,1,3,0,0,1,2,0,7,109.20706842941652,1.0
15408838,2,1,0,0,4,0,2,9,131.3309696755081,0.9974025886294855
15428236,2,2,0,0,1,1,1,7,128.02100841416814,0.9821334981979317
15431621,2,4,0,0,0,2,1,9,120.53584358989812,0.9874778514805951
15458476,0,0,0,1,0,2,5,8,60.45304626122334,0.9947136034601869
1547864,0,0,0,0,0,1,0,1,110.17278549382716,0.9921875
15520511,1,0,0,0,1,0,0,2,115.92937352547617,0.9845559845559846
1553501,4,5,1,1,3,1,6,21,132.74387302585217,0.9981684981684981
1560042,6,5,0,1,4,2,9,27,159.45959130326258,0.9997106481481481
1563900,5,3,0,0,5,5,5,23,168.81172428542672,0.9989809782608695
15653602,1,3,2,0,1,4,1,12,118.65044532348789,0.9954424091138891
15653885,3,3,0,1,3,6,1,17,168.31754880100243,0.9832303627745723
15655029,4,2,0,2,1,2,4,15,111.20919118424835,0.9984496124031008
15655566,0,5,1,0,0,0,3,9,125.96178487225653,1.0
15670360,4,4,0,0,3,3,1,15,144.30687661129267,0.9994791666666667
15670610,7,14,5,7,7,5,1,46,143.63717014134366,0.9998288257446081
15672464,3,1,1,0,2,4,0,11,119.40255077665368,0.9544919130595244
1576125,2,3,0,1,0,0,1,7,106.18789591383377,0.9739417052478492
15763781,3,5,0,0,5,7,3,23,163.32749217690682,0.994370425907452
1576417,7,11,0,1,0,0,1,20,131.52937843424496,0.9972671210994125
15794305,2,4,0,2,4,2,2,16,132.588092889982,0.9951453760511599
1579894,3,5,1,0,4,2,0,15,183.52156882184462,0.9963663261997406
15804778,3,2,0,0,0,3,0,8,140.1348612951352,0.9815027573529411
1582913,1,1,2,2,1,2,0,9,132.1980488218736,0.9939437984496124
1583637,7,12,0,3,8,0,7,37,111.65752934442038,0.9933326131363923
1585526,4,5,1,0,2,2,2,16,156.8389870599166,0.9995098039215686
15857527,0,1,0,1,0,0,0,2,116.69672453703704,0.99609375
1586508,0,1,2,1,1,1,0,6,164.68780440059507,0.9794856907833358
15870799,2,5,0,2,1,0,11,21,111.15451824215019,0.9858577882918224
15902770,6,8,0,1,5,1,1,22,166.50434445999207,0.9992925362575168
1591094,4,5,1,1,1,0,5,17,164.1197872713329,0.9995404411764706
1593284,1,1,0,0,2,0,1,5,91.01887014531893,0.9984375
1593971,1,2,0,0,1,0,1,5,95.37896386316872,0.9876795977011493
159634,2,6,1,2,6,3,13,33,133.25669903410972,0.9972227286231297
15968053,0,3,0,0,1,2,0,6,131.18314276673618,0.9935499115186616
15975146,0,1,0,0,2,4,3,10,109.3595065907922,0.99921875
1597701,2,11,0,0,3,0,7,23,145.0642101183687,0.986241324729088
1598100,2,2,0,0,0,2,4,10,128.39923321058018,0.9968931686046512
15982778,1,3,0,2,1,2,9,18,116.79170986288538,0.9991353220925205
16001061,10,8,0,1,0,2,1,22,184.53134268027497,0.9989346590909091
16024190,2,3,0,1,1,0,0,7,169.47178919355687,0.9445393148278762
1603105,3,3,0,1,3,0,0,10,144.1607109857253,0.9521605431580996
1604313,11,7,5,0,1,1,0,25,157.98754568183725,0.9975024319066148
1604485,7,3,3,0,4,0,0,17,174.664412519698,0.9990808823529411
1605615,1,7,1,1,4,2,35,51,124.09975127780862,0.9974355483766829
16061120,1,1,0,0,2,2,0,6,140.83687002918634,0.9858176575417238
1606773,0,0,0,0,1,0,1,2,125.3891935388803,1.0
1607395,0,1,0,0,0,0,1,2,99.51023276748973,1.0
1607724,2,8,2,2,4,5,2,25,160.45107291666665,1.0
1608496,1,0,0,1,3,4,0,9,107.69710104914913,1.0
16091273,1,3,0,0,0,1,6,11,117.59024608660366,1.0
16099193,1,2,0,0,1,3,3,10,127.80197975138087,0.979228092228223
16105413,3,4,1,0,4,4,0,16,164.7449375725294,0.9874614010551532
16110027,1,1,2,0,0,2,1,7,186.03894038263303,0.9955443996664813
1611135,1,0,0,0,1,0,0,2,113.72946686447757,1.0
1611141,2,1,1,0,2,0,0,6,109.60989095379175,1.0
1611722,2,0,1,0,2,0,0,5,115.1936636990486,0.9968048469387755
16121919,2,3,1,0,1,0,1,8,124.12200786574877,1.0
1612474,1,7,1,1,5,3,0,18,128.87865934627553,1.0
16133879,4,4,3,2,4,0,7,24,114.05407001008713,0.9996744791666666
16152054,5,9,1,0,5,9,1,30,164.55407975314947,0.998703972868217
16297993,1,3,1,1,0,0,0,6,118.82904947916667,0.9943603625774169
1632001,5,6,3,1,2,2,5,24,124.84475976547266,0.993332298234999
1632238,3,5,0,0,3,0,1,12,121.97425516741491,0.9902519493973426
1634302,1,1,0,1,1,1,1,6,135.52235547331742,0.9973958333333334
16344129,1,5,0,0,0,0,0,6,175.90501869742513,0.9973958333333334
1637127,9,4,1,2,2,2,2,22,133.00997574791234,0.9875531323035098
16397389,6,9,2,1,2,0,1,21,121.8528599958502,0.9945917544608355
16398847,2,2,2,1,6,1,0,14,135.71038579841658,1.0
16399808,1,1,0,0,1,0,2,5,122.83899162562167,0.9953246595330739
1639990,3,6,1,0,3,0,3,16,125.1806362356693,0.998046875
16411806,3,3,0,1,1,2,2,12,106.0896797673468,0.9452596727303408
16424413,3,3,1,0,2,0,3,12,151.99266972891414,0.9915183666396029
1642680,5,6,5,5,3,1,19,44,136.39932616976492,0.9839416704165047
1648891,1,3,0,0,1,5,0,10,111.02202074407361,1.0
16491048,2,3,0,0,1,1,0,7,143.80860112085767,1.0
1651743,1,1,0,1,2,5,10,20,128.21489195737945,0.9733456455181784
1653116,2,2,1,0,1,3,0,9,133.35744416580934,1.0
1654425,3,6,1,2,4,0,3,19,131.11289443320348,0.9991776315789473
16570713,11,20,4,2,1,4,15,57,152.10468112339785,0.9911880286459266
1658891,1,1,0,0,1,3,0,6,128.65039997535152,0.9922177810077519
16591160,6,9,2,1,2,0,1,21,121.87556116428053,0.9981367223892141
16592040,2,2,0,0,2,3,0,9,146.52648765162564,0.9973958333333334
1664035,3,0,1,0,1,2,0,7,110.57626025292423,0.9988839285714286
16644498,1,2,1,0,1,3,0,8,118.85134199888007,1.0
16654939,0,5,2,0,2,1,0,10,123.42253846772118,0.9991452991452991
16661464,2,6,0,8,1,8,5,30,136.72447444745885,0.9895978953814134
1666171,0,1,1,1,1,1,2,7,119.58666021366108,0.9988839285714286
1666402,1,6,2,0,3,1,1,14,169.24399651361435,0.9977808347176079
1666610,3,2,0,0,2,0,14,21,129.85304078188307,0.9899981185002737
1666657,5,5,2,1,5,2,0,20,108.25075337766091,0.9980453431372549
1667652,1,1,0,0,1,3,0,6,121.91055236732682,0.9948219476744186
1667717,3,3,0,2,1,3,0,12,135.78644591531636,0.9288055551161509
16681157,1,3,0,0,2,0,2,8,105.02474563828875,0.9990234375
