,id,prop_of_eng_reviews,mean_compound,mean_negativity,mean_neutrality,mean_positivity,mean_review_length,prop_of_neg_comp,most_neg_compound,most_pos_compound
0,97945,0.9922480620155039,0.8434883720930233,0.009395348837209303,0.6631472868217057,0.2886666666666667,298.8914728682171,0.0,0.0,0.9944
1,114695,1.0,0.8944716981132075,0.0067547169811320775,0.6865094339622639,0.30671698113207546,299.2641509433962,0.0,0.4576,0.995
2,127383,0.9801980198019802,0.8530405940594061,0.007524752475247527,0.6464257425742573,0.33611881188118825,234.36633663366337,0.009900990099009901,-0.1531,0.9921
3,159634,0.9705882352941176,0.7438617647058823,0.012323529411764707,0.7029411764705882,0.28476470588235303,335.94117647058823,0.029411764705882353,-0.9741,0.9924
4,170154,0.9778225806451613,0.8787229838709685,0.007405241935483869,0.6389959677419356,0.3253790322580646,324.6008064516129,0.0020161290322580645,-0.3578,0.9972
5,170815,0.96875,0.7742734374999999,0.017562499999999998,0.7005781250000002,0.2819062499999999,255.09375,0.0,0.0,0.9942
6,172672,0.958139534883721,0.8282865116279071,0.007353488372093024,0.6076697674418605,0.35239534883720924,233.67441860465115,0.004651162790697674,-0.9624,0.9976
7,179640,1.0,0.878728,0.022699999999999994,0.6715000000000002,0.3058400000000001,299.86,0.0,0.5385,0.9926
8,186596,1.0,0.7964233128834353,0.01761963190184049,0.6771533742331289,0.30522085889570544,265.3680981595092,0.018404907975460124,-0.4767,0.9942
9,187359,0.96875,0.78798125,0.008249999999999999,0.66746875,0.2930625,260.0625,0.0,0.0,0.9875
10,187386,1.0,0.7684624999999999,0.014125,0.6819375000000001,0.30387500000000006,245.8125,0.0625,-0.0932,0.9908
11,189551,0.9861111111111112,0.8332141666666661,0.018549999999999997,0.6622361111111112,0.30810000000000004,313.5527777777778,0.008333333333333333,-0.9503,0.9973
12,189582,1.0,0.8844,0.03223076923076923,0.6729230769230768,0.2948461538461538,331.46153846153845,0.0,0.6068,0.9839
13,189606,0.9722222222222222,0.7275322222222219,0.015216666666666663,0.6347611111111111,0.3166944444444443,214.57222222222222,0.011111111111111112,-0.484,0.9959
14,190383,0.96,0.8012433333333333,0.014386666666666666,0.6166533333333335,0.3422800000000001,234.08666666666667,0.013333333333333334,-0.6249,0.9951
15,190529,1.0,0.9273571428571428,0.0,0.6674285714285715,0.3325714285714286,313.85714285714283,0.0,0.8481,0.9828
16,190564,1.0,0.8048250000000001,0.02575,0.6050833333333333,0.36925,148.91666666666666,0.0,0.3164,0.9804
17,190565,0.9722222222222222,0.8388861111111114,0.010125000000000002,0.6305416666666668,0.3454583333333334,235.375,0.0,0.0,0.9932
18,190653,0.9590643274853801,0.813583040935673,0.010695906432748538,0.6213625730994154,0.3620526315789476,228.94152046783626,0.005847953216374269,-0.0784,0.9915
19,191405,1.0,0.8564849999999999,0.006900000000000001,0.6461999999999999,0.34695,283.45,0.05,-0.3245,0.9842
20,192933,0.9692307692307692,0.8249353846153845,0.0030153846153846155,0.664123076923077,0.3328461538461538,231.56923076923076,0.0,0.0,0.9879
21,193463,0.949438202247191,0.7884275280898878,0.014707865168539322,0.6327078651685394,0.3132415730337079,333.6629213483146,0.016853932584269662,-0.5682,0.9977
22,193477,0.972972972972973,0.8369783783783783,0.009851351351351352,0.5970405405405406,0.37958108108108113,200.24324324324326,0.0,0.0,0.9921
23,195293,0.953125,0.859615625,0.00828125,0.64334375,0.34837500000000005,254.625,0.015625,-0.0138,0.9955
24,195302,1.0,0.8632436781609195,0.011666666666666672,0.6814137931034483,0.29541379310344834,331.0919540229885,0.0,0.0,0.992
25,195337,1.0,0.8052272727272727,0.02109090909090909,0.5956363636363636,0.38336363636363635,192.8181818181818,0.0,0.0,0.9834
26,195371,0.9090909090909091,0.60365,0.023181818181818182,0.5516818181818182,0.42518181818181816,188.22727272727272,0.13636363636363635,-0.8922,0.989
27,195388,0.9753694581280788,0.8197246305418718,0.004674876847290642,0.6181182266009853,0.35749261083743833,217.2167487684729,0.0049261083743842365,-0.0026,0.9956
28,195444,0.9894179894179894,0.858660846560846,0.006412698412698413,0.6591322751322751,0.32387301587301576,292.04232804232805,0.005291005291005291,-0.5714,0.9964
