,+1,+2,+3,+4,+5,+6,+7,+8,+9,+10
30,0.4371838390827179,0.34802846908569335,0.3478396534919739,0.367049777507782,0.3453466773033142,0.3791311144828796,0.34521242380142214,0.3532847464084625,0.349078494310379,0.35763159990310667
40,0.4126346349716187,0.355804979801178,0.3397049903869629,0.3370724618434906,0.3336053371429443,0.34130696654319764,0.3382496416568756,0.3867407858371735,0.3377277672290802,0.3314647853374481
50,0.4496417284011841,0.34249699115753174,0.34021697044372556,0.3377436697483063,0.34761947989463804,0.33374964594841006,0.34538065195083617,0.3847803235054016,0.3334458410739899,0.33611481785774233
60,0.4119569957256317,0.33690185546875,0.33526910543441774,0.3399273633956909,0.34191417694091797,0.3361394822597504,0.3413081169128418,0.33858838081359866,0.3296871542930603,0.34119933247566225
70,0.45830662846565245,0.3356157779693604,0.336322033405304,0.34084637761116027,0.33686287999153136,0.3400680899620056,0.33417869806289674,0.33420404195785525,0.3409792363643646,0.34697983860969545
80,0.4904620945453644,0.33993111848831176,0.33989874124526975,0.33553656935691833,0.34336405992507935,0.33795329332351687,0.345844966173172,0.3394524335861206,0.3340047836303711,0.3368524253368378
90,0.43143736124038695,0.3376676142215729,0.34221227169036866,0.34697131514549256,0.33956206440925596,0.3384941279888153,0.33958739042282104,0.3474968373775482,0.33558233380317687,0.3282481968402863
100,0.4179612576961517,0.3363965928554535,0.3404051959514618,0.3328622281551361,0.336727237701416,0.3402388751506805,0.3518543541431427,0.3399636447429657,0.3410921633243561,0.34326468110084535
110,0.4441115379333496,0.3391804099082947,0.33467766642570496,0.32962101697921753,0.35167714953422546,0.3360264182090759,0.3422018468379974,0.343739515542984,0.32958161234855654,0.33237998485565184
120,0.43829512000083926,0.34188883304595946,0.3384863078594208,0.35383354425430297,0.3380933403968811,0.3344688653945923,0.34441094994544985,0.33887721300125123,0.341493022441864,0.33907523155212405
