,id,counts,brightness
0,10006474,6,153.60924975762077
1,10007446,6,111.98565742916043
2,10027351,8,130.52550613131217
3,10048879,5,112.76247697581024
4,10069364,9,124.9344438167779
5,10098485,13,122.93263391104686
6,10110863,13,124.24288718740105
7,10112847,26,170.73853250439788
8,10115073,2,124.3277543550133
9,10128292,22,144.80184878908779
10,10131392,2,123.33371380950537
11,10134641,6,107.05644320050344
12,10146203,40,173.7049233451942
13,10194256,5,87.57359024778096
14,10207081,23,119.80507584652888
15,10219889,9,133.25475198453933
16,10249544,2,105.43539641203704
17,10259932,14,119.89133064343277
18,10265954,18,171.9532551148817
19,10327163,5,117.70957047325103
20,10350171,13,130.74860637286358
21,10355640,6,120.10280765737525
22,10404636,14,104.53057081928023
23,10409581,1,89.91603443287038
24,10410110,14,110.89142345036008
25,10410661,13,110.18789876147515
26,10433007,27,149.7617555500781
27,10509188,24,126.81302451546439
28,10513280,38,157.59015724363317
29,10521517,9,101.81506046024805
30,10531222,8,140.75087345709528
31,10572695,11,122.4480037206737
32,10582874,25,142.1997474698017
33,10585555,31,111.40648018648106
34,10600660,37,147.59510883210947
35,10617389,6,126.72725597993826
36,10676358,37,157.77318565603815
37,10691248,16,122.45800512996719
38,10703188,6,137.5938161334556
39,10703610,15,121.75800537628491
40,10715719,10,111.42974732188786
41,10724235,13,119.85622233302003
42,10728163,19,149.8333074058845
43,1073487,10,114.90449820706218
44,10758548,7,110.47184322274084
45,10761136,9,100.78675011431184
46,1076634,10,108.58775991833848
47,10780210,1,82.58212528935185
48,10781131,32,139.15319313616
49,10818556,6,121.84158093278465
50,10824761,34,137.7820754344556
51,1086416,21,126.22141550741803
52,10881092,21,149.34329864061868
53,10883005,35,145.19013589992565
54,10894501,5,86.54047563101963
55,10907846,9,136.97493984339278
56,10908028,21,169.57124129624125
57,10916487,11,113.47633740480802
58,10945353,9,147.88675068394548
59,10956408,7,103.99939305574487
60,10959386,33,126.0303831402647
61,10961041,6,103.11722109696503
62,10963898,7,107.96091588762968
63,10964495,17,141.99149497511195
64,10976284,26,128.67629653636806
65,10978447,39,130.2675316320814
66,10983874,11,102.46483018845866
67,10987796,9,120.67619180025184
68,10991162,39,97.50552633397292
69,11008133,15,117.78842050772319
70,11013301,31,122.36712029096701
71,11035020,9,104.26026843635688
