,loss,R_squared,mse,mae,val_loss,val_R_squared,val_mse,val_mae
0,3.756657600402832,-6.654794216156006,3.756657600402832,1.3118878602981567,0.7338742017745972,-0.6434611678123474,0.7338742017745972,0.697645366191864
1,0.5396251082420349,-0.2365027517080307,0.5396251082420349,0.5875532627105713,0.4769248366355896,-0.0692605972290039,0.4769248366355896,0.5531500577926636
2,0.4500071406364441,-0.11837437003850937,0.4500071406364441,0.540215015411377,0.4585791826248169,-0.03160087391734123,0.4585791826248169,0.53718101978302
3,0.4803759753704071,-0.16818775236606598,0.4803759753704071,0.5496729612350464,0.5477330684661865,-0.2273368090391159,0.5477330684661865,0.5926560163497925
4,0.528342604637146,-0.20821519196033478,0.528342604637146,0.5772421360015869,0.3935619592666626,0.11152758449316025,0.3935619592666626,0.5026588439941406
5,0.37194088101387024,0.15872766077518463,0.37194088101387024,0.4811124801635742,0.36339548230171204,0.18409834802150726,0.36339548230171204,0.4699384272098541
6,0.35847169160842896,-0.04522261768579483,0.35847169160842896,0.4674781262874603,0.44331681728363037,-0.0011676152935251594,0.44331681728363037,0.5373260378837585
7,0.4004552960395813,-0.0021915219258517027,0.4004552960395813,0.49780428409576416,0.31745004653930664,0.27416351437568665,0.31745004653930664,0.4341660141944885
8,0.35587024688720703,0.19844985008239746,0.35587024688720703,0.46282678842544556,0.322200745344162,0.26628756523132324,0.322200745344162,0.43176910281181335
9,0.28972145915031433,0.19261693954467773,0.28972145915031433,0.4139971435070038,0.30230286717414856,0.31819936633110046,0.30230286717414856,0.4148598909378052
10,0.2976750433444977,0.35794246196746826,0.2976750433444977,0.42148351669311523,0.29804158210754395,0.310269296169281,0.29804158210754395,0.41546526551246643
11,0.26379290223121643,0.355427086353302,0.26379290223121643,0.39905107021331787,0.34611451625823975,0.2080336958169937,0.34611451625823975,0.4494432210922241
12,0.3056167960166931,0.22921615839004517,0.3056167960166931,0.4306035339832306,0.257673442363739,0.41165149211883545,0.257673442363739,0.38266614079475403
13,0.26472941040992737,0.38258516788482666,0.26472941040992737,0.39693841338157654,0.31082186102867126,0.29123175144195557,0.31082186102867126,0.4345264136791229
14,0.28292664885520935,-0.8784124255180359,0.28292664885520935,0.413129597902298,0.27555182576179504,0.37294086813926697,0.27555185556411743,0.3982599675655365
15,0.3053746521472931,0.2931702435016632,0.3053746521472931,0.4272485375404358,0.2950568199157715,0.3257615268230438,0.2950568199157715,0.4123254716396332
16,0.273811399936676,0.20742592215538025,0.273811399936676,0.40683451294898987,0.2843693792819977,0.35262879729270935,0.2843693792819977,0.41097262501716614
17,0.30563247203826904,0.2980112135410309,0.30563247203826904,0.43280264735221863,0.2975362539291382,0.32442817091941833,0.29753628373146057,0.42238932847976685
18,0.258872389793396,0.43898507952690125,0.258872389793396,0.39224112033843994,0.27046728134155273,0.38426756858825684,0.27046728134155273,0.3835999071598053
19,0.23817108571529388,0.4070744216442108,0.23817108571529388,0.3757338225841522,0.27287763357162476,0.3850315511226654,0.27287763357162476,0.38673195242881775
20,0.24074490368366241,0.4127267599105835,0.24074490368366241,0.3768213093280792,0.2961149215698242,0.3327532112598419,0.2961149215698242,0.40894752740859985
21,0.25198960304260254,0.4249033033847809,0.25198960304260254,0.3877062201499939,0.25916722416877747,0.4139460325241089,0.25916722416877747,0.37470877170562744
22,0.24200376868247986,0.4254569113254547,0.24200376868247986,0.37732556462287903,0.2652374505996704,0.3984823226928711,0.2652374505996704,0.3798450827598572
23,0.23081786930561066,0.5025917291641235,0.23081786930561066,0.3697057366371155,0.26254528760910034,0.40632638335227966,0.26254528760910034,0.37851887941360474
24,0.2279747873544693,0.49135398864746094,0.2279747873544693,0.36785390973091125,0.26232820749282837,0.40693655610084534,0.262328177690506,0.3751550018787384
25,0.2246607542037964,0.49973422288894653,0.2246607542037964,0.3617558777332306,0.2551245093345642,0.42051538825035095,0.2551245093345642,0.37165993452072144
26,0.23064011335372925,0.4666990041732788,0.23064009845256805,0.36636146903038025,0.24563784897327423,0.4410792887210846,0.24563784897327423,0.3645910918712616
27,0.22275395691394806,0.25135424733161926,0.22275395691394806,0.3607998490333557,0.26520833373069763,0.39586949348449707,0.26520833373069763,0.38923245668411255
28,0.2309773713350296,-0.011928904801607132,0.2309773713350296,0.3679955303668976,0.2591586410999298,0.4135655462741852,0.2591586410999298,0.3751557767391205
29,0.2519718110561371,0.43804922699928284,0.2519718110561371,0.38646936416625977,0.2608537971973419,0.40899285674095154,0.2608537971973419,0.3749941289424896
30,0.22500011324882507,0.40588656067848206,0.22500011324882507,0.36449581384658813,0.3189879059791565,0.2693411409854889,0.3189879059791565,0.4431878328323364
31,0.26638898253440857,0.27381813526153564,0.26638898253440857,0.40401530265808105,0.27083563804626465,0.3859293460845947,0.27083563804626465,0.3886510133743286
32,0.22349205613136292,0.45439231395721436,0.22349205613136292,0.36251747608184814,0.264077365398407,0.4003089666366577,0.2640773355960846,0.3959418535232544
33,0.230887770652771,0.3792438209056854,0.230887770652771,0.36902210116386414,0.22698666155338287,0.4795016050338745,0.22698666155338287,0.3546594977378845
34,0.2209528237581253,0.3924452066421509,0.2209528237581253,0.35945260524749756,0.22679857909679413,0.4845210611820221,0.22679859399795532,0.3552831709384918
35,0.21432511508464813,0.5412253737449646,0.21432511508464813,0.3530287444591522,0.2430020421743393,0.44102489948272705,0.2430020421743393,0.3742649555206299
36,0.21345551311969757,0.4822433590888977,0.21345551311969757,0.35533079504966736,0.2282516211271286,0.4739113748073578,0.2282516211271286,0.36075928807258606
37,0.21897798776626587,0.5093639492988586,0.21897798776626587,0.36152464151382446,0.2556048631668091,0.42072057723999023,0.2556048631668091,0.3780181407928467
38,0.21780233085155487,0.4976857006549835,0.21780233085155487,0.3602638840675354,0.28062447905540466,0.3668144643306732,0.28062447905540466,0.40988197922706604
39,0.23146513104438782,0.4613424241542816,0.23146513104438782,0.3733443319797516,0.22001414000988007,0.49792829155921936,0.22001414000988007,0.3595605492591858
40,0.21673326194286346,0.5117655396461487,0.21673326194286346,0.36094996333122253,0.24531595408916473,0.43805715441703796,0.24531595408916473,0.382806658744812
41,0.2029934972524643,0.5578997135162354,0.2029934972524643,0.34664395451545715,0.21147450804710388,0.5182381272315979,0.21147450804710388,0.3421705961227417
42,0.20040805637836456,0.5669639706611633,0.20040805637836456,0.3422646224498749,0.21006514132022858,0.5159777998924255,0.21006514132022858,0.34539544582366943
43,0.18933336436748505,0.5492759346961975,0.18933336436748505,0.33275532722473145,0.210215762257576,0.5161669254302979,0.210215762257576,0.3447659909725189
44,0.18772739171981812,0.5858959555625916,0.18772739171981812,0.33305823802948,0.21183356642723083,0.5135881900787354,0.21183356642723083,0.34533098340034485
45,0.19275392591953278,0.5682997703552246,0.19275392591953278,0.33663666248321533,0.22469283640384674,0.4835222065448761,0.22469283640384674,0.35755655169487
46,0.19997236132621765,0.4739628732204437,0.19997236132621765,0.3433213233947754,0.23267246782779694,0.4683496952056885,0.23267246782779694,0.3590725064277649
47,0.21341705322265625,0.39207136631011963,0.21341705322265625,0.35474246740341187,0.22036947309970856,0.4953705370426178,0.22036947309970856,0.3499299883842468
48,0.21396301686763763,0.4737122356891632,0.21396301686763763,0.357614129781723,0.2302706390619278,0.46643614768981934,0.2302706390619278,0.36551451683044434
49,0.2167818248271942,0.42961472272872925,0.2167818248271942,0.3581623136997223,0.25687363743782043,0.416201114654541,0.25687363743782043,0.38575229048728943
50,0.21840186417102814,0.17414851486682892,0.21840184926986694,0.3607182800769806,0.2426818162202835,0.4421287477016449,0.2426818162202835,0.37393519282341003
51,0.2020687758922577,0.5612917542457581,0.2020687758922577,0.3463626801967621,0.2043367326259613,0.5318007469177246,0.2043367326259613,0.3409149944782257
52,0.1880366951227188,0.43173789978027344,0.1880366951227188,0.331861674785614,0.25389397144317627,0.4129602015018463,0.25389397144317627,0.3936564028263092
53,0.22500625252723694,0.49607107043266296,0.22500625252723694,0.36689436435699463,0.2059599608182907,0.5268130898475647,0.2059599608182907,0.3399095833301544
54,0.18514518439769745,0.5439012050628662,0.18514518439769745,0.3302592933177948,0.2564229965209961,0.41795802116394043,0.2564229965209961,0.3903706967830658
55,0.21422071754932404,0.49804410338401794,0.21422071754932404,0.3571227192878723,0.19994980096817017,0.53716641664505,0.19994980096817017,0.33885639905929565
56,0.218858003616333,0.5140529870986938,0.2188580185174942,0.36135366559028625,0.24227051436901093,0.4443691670894623,0.24227051436901093,0.38543814420700073
57,0.18869394063949585,0.5015369057655334,0.18869394063949585,0.3360169231891632,0.20380021631717682,0.5332117676734924,0.20380021631717682,0.3400270938873291
58,0.18192103505134583,0.3860075771808624,0.18192103505134583,0.32819581031799316,0.19857239723205566,0.5437825918197632,0.19857239723205566,0.33621665835380554
59,0.1918189525604248,0.5234587788581848,0.1918189525604248,0.33506208658218384,0.21262365579605103,0.5101871490478516,0.21262365579605103,0.3438258469104767
60,0.19028766453266144,0.569196343421936,0.19028766453266144,0.33484598994255066,0.19962285459041595,0.5409621596336365,0.19962285459041595,0.33603033423423767
61,0.18202731013298035,0.4802856743335724,0.18202731013298035,0.32701441645622253,0.22936509549617767,0.4720304012298584,0.22936509549617767,0.3712528645992279
62,0.18923969566822052,0.5759955048561096,0.18923969566822052,0.33768993616104126,0.20496311783790588,0.5264080166816711,0.20496311783790588,0.33469897508621216
63,0.1847407966852188,0.40714403986930847,0.1847407966852188,0.32978251576423645,0.2639346122741699,0.3967985212802887,0.2639346122741699,0.39552953839302063
64,0.2129240334033966,0.5147644281387329,0.2129240334033966,0.35642102360725403,0.20322377979755402,0.5284273028373718,0.20322377979755402,0.3381669521331787
65,0.1903369277715683,0.5038990378379822,0.1903369277715683,0.3378898799419403,0.19843533635139465,0.5437723994255066,0.19843533635139465,0.33546942472457886
66,0.1712055206298828,0.5714545845985413,0.1712055206298828,0.3172512352466583,0.200886532664299,0.5346684455871582,0.200886532664299,0.33357399702072144
67,0.20737074315547943,0.48657190799713135,0.20737074315547943,0.3500801622867584,0.24687734246253967,0.4284079968929291,0.24687734246253967,0.3828384578227997
68,0.21313245594501495,0.44784605503082275,0.21313245594501495,0.35416531562805176,0.3172400891780853,0.2740877568721771,0.3172400891780853,0.43904033303260803
69,0.29766127467155457,-0.42727935314178467,0.29766127467155457,0.4225015342235565,0.29148992896080017,0.3275892734527588,0.29148992896080017,0.41823291778564453
70,0.26843658089637756,0.415714293718338,0.26843658089637756,0.40627017617225647,0.2384670376777649,0.4570804536342621,0.2384670376777649,0.36882373690605164
71,0.2229672521352768,0.4951024055480957,0.2229672521352768,0.36485061049461365,0.2265218198299408,0.48336324095726013,0.2265218198299408,0.35613569617271423
72,0.2160412073135376,0.48111942410469055,0.2160412073135376,0.3549678325653076,0.23410265147686005,0.4658951759338379,0.23410265147686005,0.3639063239097595
73,0.19309218227863312,0.4350021481513977,0.19309218227863312,0.3384438157081604,0.21337975561618805,0.5145002603530884,0.21337975561618805,0.33886563777923584
74,0.19871635735034943,0.5472083687782288,0.19871635735034943,0.3354485332965851,0.2384682297706604,0.45904800295829773,0.2384682297706604,0.3720628321170807
75,0.19454753398895264,0.42073142528533936,0.19454753398895264,0.342073529958725,0.23332250118255615,0.4699431359767914,0.23332250118255615,0.36047762632369995
76,0.20323529839515686,-0.04636768996715546,0.20323529839515686,0.3478304147720337,0.22047705948352814,0.49703168869018555,0.22047705948352814,0.3467877507209778
77,0.20062217116355896,0.5516107082366943,0.20062217116355896,0.34316006302833557,0.201197549700737,0.5421846508979797,0.201197549700737,0.33021488785743713
78,0.18840955197811127,0.5924444794654846,0.18840955197811127,0.33424514532089233,0.19966867566108704,0.5446611046791077,0.19966867566108704,0.32685109972953796
79,0.17266704142093658,0.6256527304649353,0.17266704142093658,0.31688904762268066,0.20527787506580353,0.5325086116790771,0.20527787506580353,0.33320966362953186
80,0.17366637289524078,0.5506591796875,0.17366637289524078,0.3194843530654907,0.21641942858695984,0.5072142481803894,0.21641942858695984,0.34448179602622986
81,0.18881544470787048,0.5920709371566772,0.18881544470787048,0.3321898877620697,0.20077043771743774,0.5395360589027405,0.20077043771743774,0.32678911089897156
82,0.17196476459503174,0.6130040884017944,0.17196476459503174,0.31485381722450256,0.1993303745985031,0.5444353222846985,0.1993303745985031,0.32727187871932983
83,0.1703064888715744,0.6351406574249268,0.1703064888715744,0.3153876066207886,0.19353163242340088,0.5561861395835876,0.19353163242340088,0.32077911496162415
84,0.15855717658996582,0.5794382691383362,0.15855717658996582,0.30129772424697876,0.2137974053621292,0.5100252628326416,0.2137974053621292,0.35156917572021484
85,0.1763003170490265,0.5772686004638672,0.1763003170490265,0.32484641671180725,0.2054542601108551,0.5286248326301575,0.2054542601108551,0.33200618624687195
86,0.16854552924633026,0.5896632671356201,0.16854552924633026,0.31427115201950073,0.2109060287475586,0.5106871724128723,0.2109060287475586,0.3483545184135437
87,0.17131750285625458,0.5740060806274414,0.17131750285625458,0.3193463385105133,0.20756933093070984,0.5198826193809509,0.20756933093070984,0.34133726358413696
88,0.17692354321479797,0.6054558157920837,0.17692354321479797,0.3231514096260071,0.19395996630191803,0.5545752644538879,0.19395996630191803,0.32512956857681274
89,0.15739627182483673,0.6224671602249146,0.15739627182483673,0.3032846450805664,0.1921796202659607,0.5623047947883606,0.1921796202659607,0.32128801941871643
90,0.16133061051368713,0.5766358971595764,0.16133061051368713,0.30642014741897583,0.18694362044334412,0.5737654566764832,0.18694362044334412,0.31981560587882996
91,0.16605408489704132,0.49941787123680115,0.16605408489704132,0.31585341691970825,0.2198382318019867,0.4989149570465088,0.2198382318019867,0.35972800850868225
92,0.18129825592041016,0.6110022068023682,0.18129825592041016,0.3270711898803711,0.20178234577178955,0.5459627509117126,0.20178234577178955,0.33187928795814514
93,0.17031753063201904,0.5938591957092285,0.17031753063201904,0.31674015522003174,0.194073885679245,0.561362624168396,0.194073885679245,0.32120388746261597
94,0.1584646999835968,0.47638389468193054,0.1584646999835968,0.30277302861213684,0.20440633594989777,0.5388200879096985,0.20440633594989777,0.33159711956977844
95,0.18030504882335663,0.6160836815834045,0.18030504882335663,0.32686951756477356,0.20727446675300598,0.5307173132896423,0.20727446675300598,0.3353636562824249
96,0.16418208181858063,0.5935442447662354,0.16418206691741943,0.3116501569747925,0.217275932431221,0.5054642558097839,0.217275932431221,0.3540583550930023
97,0.16049408912658691,0.6295651793479919,0.16049408912658691,0.30475810170173645,0.19432587921619415,0.5624216198921204,0.19432587921619415,0.32288238406181335
98,0.15100261569023132,0.6689316630363464,0.15100261569023132,0.2950820326805115,0.18913321197032928,0.5732226967811584,0.18913321197032928,0.31771352887153625
99,0.14566963911056519,0.68119215965271,0.14566963911056519,0.28970563411712646,0.19243237376213074,0.5604619383811951,0.19243237376213074,0.3265259563922882
