,price
0,4.382026634673881
1,5.700443573390687
2,4.969813299576001
3,5.41610040220442
4,3.5553480614894135
5,3.5553480614894135
6,5.68697535633982
7,4.0943445622221
8,5.393627546352362
9,4.477336814478207
10,5.53338948872752
11,3.8918202981106265
12,3.912023005428146
13,4.532599493153256
14,5.840641657373398
15,5.278114659230517
16,4.867534450455582
17,4.499809670330265
18,5.003946305945459
19,3.2188758248682006
20,4.941642422609304
21,3.6888794541139363
22,4.174387269895637
23,3.4011973816621555
24,4.976733742420574
25,4.382026634673881
26,5.356586274672012
27,3.713572066704308
28,3.4011973816621555
29,5.560681631015528
30,4.248495242049359
31,3.912023005428146
32,5.298317366548036
33,3.912023005428146
34,5.298317366548036
35,5.697093486505405
36,5.857933154483459
37,4.804021044733257
38,2.1972245773362196
39,4.382026634673881
40,4.382026634673881
41,3.8066624897703196
42,5.438079308923196
43,4.382026634673881
44,4.0943445622221
45,3.912023005428146
46,4.787491742782046
47,3.8066624897703196
48,5.0106352940962555
49,5.075173815233827
50,3.6888794541139363
51,4.90527477843843
52,4.248495242049359
53,3.4657359027997265
54,3.912023005428146
55,3.295836866004329
56,3.8501476017100584
57,4.30406509320417
58,4.499809670330265
59,4.1588830833596715
60,3.8066624897703196
61,3.912023005428146
62,4.919980925828125
63,4.762173934797756
64,4.060443010546419
65,4.787491742782046
66,4.248495242049359
67,4.762173934797756
68,4.0943445622221
69,3.8918202981106265
70,4.382026634673881
71,3.5263605246161616
72,4.007333185232471
73,4.174387269895637
74,4.248495242049359
75,5.181783550292085
76,5.6937321388027
77,3.912023005428146
78,3.828641396489095
79,5.298317366548036
80,4.574710978503383
81,3.4657359027997265
82,3.5553480614894135
83,5.111987788356544
84,5.0238805208462765
85,3.6888794541139363
86,3.8066624897703196
87,2.995732273553991
88,5.991464547107982
89,3.8066624897703196
90,5.075173815233827
91,4.442651256490317
92,5.857933154483459
93,3.6375861597263857
94,4.382026634673881
95,5.521460917862246
96,4.736198448394496
97,5.0689042022202315
98,3.9889840465642745
99,5.318119993844216
100,5.3471075307174685
101,4.02535169073515
102,5.135798437050262
103,3.4011973816621555
104,5.298317366548036
105,4.0943445622221
106,3.6888794541139363
107,4.007333185232471
108,4.110873864173311
109,3.8918202981106265
110,5.318119993844216
111,4.248495242049359
112,4.9344739331306915
113,3.2188758248682006
114,4.867534450455582
115,4.454347296253507
116,4.330733340286331
117,4.6913478822291435
118,4.787491742782046
119,3.6888794541139363
120,3.8066624897703196
121,5.293304824724492
122,4.0943445622221
123,4.174387269895637
124,4.007333185232471
125,4.499809670330265
126,4.07753744390572
127,3.912023005428146
128,5.10594547390058
129,3.5553480614894135
130,5.521460917862246
131,4.248495242049359
132,4.060443010546419
133,5.19295685089021
134,4.762173934797756
135,4.007333185232471
136,5.966146739123692
137,4.0943445622221
138,4.553876891600541
139,4.867534450455582
140,4.248495242049359
141,4.700480365792417
142,4.174387269895637
143,5.298317366548036
144,3.4011973816621555
145,3.6888794541139363
146,3.4657359027997265
147,4.394449154672439
148,4.499809670330265
149,5.247024072160486
150,4.543294782270004
151,4.30406509320417
152,4.1588830833596715
153,4.02535169073515
154,5.0106352940962555
155,4.248495242049359
156,4.605170185988092
157,4.787491742782046
158,5.389071729816501
159,3.871201010907891
160,5.14166355650266
161,3.6888794541139363
162,3.8066624897703196
163,5.991464547107982
164,4.605170185988092
165,3.912023005428146
166,3.4339872044851463
167,4.787491742782046
168,4.454347296253507
169,3.6635616461296463
170,4.605170185988092
171,4.248495242049359
172,4.812184355372417
173,4.787491742782046
174,4.700480365792417
175,4.174387269895637
176,4.605170185988092
177,5.521460917862246
178,4.0943445622221
179,4.477336814478207
180,5.298317366548036
181,4.499809670330265
182,3.5553480614894135
183,3.8066624897703196
184,4.499809670330265
185,5.579729825986222
186,4.0943445622221
187,3.091042453358316
188,4.605170185988092
189,4.382026634673881
190,3.912023005428146
191,4.787491742782046
192,4.820281565605037
193,4.48863636973214
194,4.248495242049359
195,4.382026634673881
196,3.713572066704308
197,4.997212273764115
198,4.897839799950911
199,3.6888794541139363
200,5.247024072160486
201,4.442651256490317
202,5.0106352940962555
203,5.187385805840755
204,5.480638923341991
205,3.6375861597263857
206,5.375278407684165
207,4.0943445622221
208,5.459585514144159
209,3.6888794541139363
210,3.7376696182833684
211,5.017279836814924
212,5.8377304471659395
213,4.248495242049359
214,4.605170185988092
215,5.3230099791384085
216,4.787491742782046
217,4.8283137373023015
218,4.499809670330265
219,4.465908118654584
220,4.955827057601261
221,4.0943445622221
222,4.0943445622221
223,5.209486152841421
224,3.4011973816621555
225,4.174387269895637
226,4.605170185988092
227,4.007333185232471
228,4.189654742026425
229,4.787491742782046
230,4.941642422609304
231,4.499809670330265
232,5.521460917862246
233,4.442651256490317
234,4.499809670330265
235,4.927253685157205
236,4.59511985013459
237,3.6888794541139363
238,2.8903717578961645
239,4.382026634673881
240,4.605170185988092
241,4.653960350157523
242,5.278114659230517
243,3.8066624897703196
244,4.543294782270004
245,4.605170185988092
246,4.07753744390572
247,3.367295829986474
248,5.135798437050262
249,4.007333185232471
250,3.9512437185814275
251,4.700480365792417
252,4.48863636973214
253,3.912023005428146
254,5.703782474656201
255,5.703782474656201
256,4.941642422609304
257,4.343805421853684
258,4.248495242049359
259,4.382026634673881
260,3.4965075614664802
261,5.0106352940962555
262,3.7612001156935624
263,5.214935757608986
264,3.1354942159291497
265,6.1092475827643655
266,3.7612001156935624
267,4.0943445622221
