,price
0,3.8066624897703196
1,3.912023005428146
2,4.343805421853684
3,5.075173815233827
4,5.521460917862246
5,4.007333185232471
6,5.736572297479192
7,4.430816798843313
8,5.332718793265369
9,5.575949103146316
10,4.890349128221754
11,5.135798437050262
12,4.007333185232471
13,4.276666119016055
14,4.74493212836325
15,3.2188758248682006
16,4.007333185232471
17,5.521460917862246
18,4.787491742782046
19,3.8066624897703196
20,5.247024072160486
21,4.890349128221754
22,5.214935757608986
23,3.4011973816621555
24,4.31748811353631
25,4.442651256490317
26,4.499809670330265
27,5.455321115357702
28,4.007333185232471
29,4.382026634673881
30,4.31748811353631
31,3.4011973816621555
32,3.8066624897703196
33,5.480638923341991
34,5.66988092298052
35,4.248495242049359
36,5.298317366548036
37,4.624972813284271
38,3.5553480614894135
39,4.804021044733257
40,4.31748811353631
41,5.298317366548036
42,4.31748811353631
43,3.7612001156935624
44,5.8944028342648505
45,4.0943445622221
46,3.4011973816621555
47,5.075173815233827
48,4.51085950651685
49,5.198497031265826
50,3.8918202981106265
51,3.7376696182833684
52,4.330733340286331
53,3.6375861597263857
54,4.941642422609304
55,3.6635616461296463
56,5.075173815233827
57,6.061456918928017
58,5.298317366548036
59,3.1780538303479458
60,4.553876891600541
61,4.0943445622221
62,4.3694478524670215
63,4.709530201312334
64,3.8066624897703196
65,4.248495242049359
66,4.77912349311153
67,3.912023005428146
68,5.220355825078324
69,5.8289456176102075
70,5.220355825078324
71,3.4011973816621555
72,3.970291913552122
73,5.247024072160486
74,4.382026634673881
75,5.0106352940962555
76,5.68697535633982
77,4.07753744390572
78,4.605170185988092
79,5.41610040220442
80,4.700480365792417
81,4.330733340286331
82,4.867534450455582
83,4.605170185988092
84,3.4657359027997265
85,3.828641396489095
86,4.941642422609304
87,4.941642422609304
88,4.564348191467836
89,4.418840607796598
90,4.174387269895637
91,3.295836866004329
92,3.6888794541139363
93,4.248495242049359
94,2.995732273553991
95,5.10594547390058
96,4.499809670330265
97,3.8066624897703196
98,3.6888794541139363
99,4.356708826689592
100,4.174387269895637
101,5.726847747587197
102,3.912023005428146
103,5.135798437050262
104,4.442651256490317
105,4.553876891600541
106,4.700480365792417
107,4.174387269895637
108,4.382026634673881
109,5.521460917862246
110,4.897839799950911
111,4.382026634673881
112,3.6635616461296463
113,4.0943445622221
114,5.298317366548036
115,4.1588830833596715
116,4.382026634673881
117,3.912023005428146
118,4.787491742782046
119,4.248495242049359
120,3.4657359027997265
121,4.382026634673881
122,5.298317366548036
123,5.298317366548036
124,5.075173815233827
125,4.59511985013459
126,5.0106352940962555
127,5.19295685089021
128,4.060443010546419
129,4.499809670330265
130,4.867534450455582
131,4.248495242049359
132,5.170483995038151
133,4.605170185988092
134,4.248495242049359
135,2.9444389791664403
136,3.5553480614894135
137,3.713572066704308
138,4.74493212836325
139,4.174387269895637
140,4.700480365792417
141,3.912023005428146
142,4.499809670330265
143,3.912023005428146
144,3.6888794541139363
145,3.58351893845611
146,4.007333185232471
147,3.828641396489095
148,4.553876891600541
149,4.499809670330265
150,4.31748811353631
151,4.382026634673881
152,4.007333185232471
153,4.31748811353631
154,4.605170185988092
155,5.075173815233827
156,3.713572066704308
157,3.8066624897703196
158,2.995732273553991
