,price
0,5.365976015021851
1,3.2188758248682006
2,4.248495242049359
3,3.6635616461296463
4,6.20050917404269
5,4.605170185988092
6,4.007333185232471
7,3.912023005428146
8,4.007333185232471
9,4.59511985013459
10,4.59511985013459
11,4.382026634673881
12,4.02535169073515
13,4.1588830833596715
14,5.247024072160486
15,4.605170185988092
16,4.605170185988092
17,4.709530201312334
18,4.127134385045092
19,4.727387818712341
20,4.605170185988092
21,5.703782474656201
22,5.19295685089021
23,3.332204510175204
24,3.2188758248682006
25,4.382026634673881
26,5.521460917862246
27,4.174387269895637
28,5.0106352940962555
29,5.886104031450156
30,5.298317366548036
31,5.0106352940962555
32,4.787491742782046
33,4.248495242049359
34,5.1298987149230735
35,5.0106352940962555
36,4.787491742782046
37,4.499809670330265
38,4.605170185988092
39,4.605170185988092
40,4.31748811353631
41,3.8918202981106265
42,5.521460917862246
43,5.220355825078324
44,3.912023005428146
45,3.871201010907891
46,4.653960350157523
47,5.043425116919247
48,3.5553480614894135
49,3.58351893845611
50,4.174387269895637
51,3.6888794541139363
52,4.356708826689592
53,6.052089168924417
54,4.499809670330265
55,2.833213344056216
56,3.8918202981106265
57,4.382026634673881
58,4.382026634673881
59,3.8066624897703196
60,4.442651256490317
61,4.248495242049359
62,4.1588830833596715
63,3.970291913552122
64,5.293304824724492
65,4.007333185232471
66,4.1588830833596715
67,5.631211781821365
68,4.382026634673881
69,4.343805421853684
70,5.135798437050262
71,4.820281565605037
72,4.07753744390572
73,4.787491742782046
74,4.290459441148391
75,4.0943445622221
76,4.23410650459726
77,4.0943445622221
78,5.0106352940962555
79,4.248495242049359
80,5.0106352940962555
81,5.209486152841421
82,4.605170185988092
83,3.4011973816621555
84,3.6888794541139363
85,4.8283137373023015
86,4.382026634673881
87,4.59511985013459
88,3.332204510175204
89,4.060443010546419
90,4.77912349311153
91,4.248495242049359
92,4.0943445622221
93,4.30406509320417
94,4.430816798843313
95,5.087596335232384
96,5.135798437050262
97,3.8501476017100584
98,4.248495242049359
99,4.219507705176107
100,3.58351893845611
101,4.941642422609304
102,4.553876891600541
103,4.653960350157523
104,5.703782474656201
105,4.04305126783455
106,3.8501476017100584
107,3.6888794541139363
108,3.9318256327243257
109,4.060443010546419
110,4.02535169073515
111,4.553876891600541
112,5.521460917862246
113,3.8066624897703196
114,5.247024072160486
115,5.703782474656201
116,4.0943445622221
117,5.087596335232384
118,4.007333185232471
119,4.07753744390572
120,4.0943445622221
121,5.814130531825066
122,4.23410650459726
123,5.749392985908253
124,4.499809670330265
125,4.553876891600541
126,4.700480365792417
127,4.248495242049359
128,4.605170185988092
129,3.9318256327243257
130,5.655991810819852
131,3.8066624897703196
132,3.295836866004329
133,3.970291913552122
134,4.605170185988092
135,3.8066624897703196
136,4.127134385045092
137,3.6888794541139363
138,4.248495242049359
139,3.912023005428146
140,4.812184355372417
141,4.3694478524670215
142,3.8066624897703196
143,3.5553480614894135
144,5.43372200355424
145,4.31748811353631
146,4.605170185988092
147,6.1092475827643655
148,3.6109179126442243
149,4.248495242049359
150,5.111987788356544
151,3.8918202981106265
152,4.174387269895637
153,4.382026634673881
154,5.438079308923196
155,4.31748811353631
156,4.248495242049359
157,5.8377304471659395
158,5.062595033026967
159,3.2188758248682006
160,3.8501476017100584
161,5.438079308923196
162,4.59511985013459
163,3.8066624897703196
164,5.298317366548036
165,4.0943445622221
166,3.258096538021482
167,5.1647859739235145
168,4.465908118654584
169,3.5553480614894135
170,4.02535169073515
171,4.709530201312334
172,5.3471075307174685
173,3.6375861597263857
174,4.219507705176107
175,5.099866427824199
176,3.4657359027997265
177,4.605170185988092
178,5.0106352940962555
179,3.784189633918261
180,4.31748811353631
181,4.955827057601261
182,4.248495242049359
183,4.442651256490317
184,4.382026634673881
185,4.9344739331306915
186,3.912023005428146
187,3.9318256327243257
188,5.135798437050262
189,5.135798437050262
190,4.276666119016055
191,4.499809670330265
192,4.174387269895637
193,3.5553480614894135
194,5.298317366548036
195,3.5553480614894135
196,4.442651256490317
197,4.330733340286331
198,4.1588830833596715
199,3.912023005428146
200,3.9889840465642745
201,4.0943445622221
202,5.0106352940962555
203,4.59511985013459
204,4.007333185232471
205,4.110873864173311
206,4.007333185232471
207,3.9889840465642745
208,3.9889840465642745
209,3.6375861597263857
210,4.189654742026425
211,4.941642422609304
212,3.4011973816621555
213,5.147494476813453
214,3.6109179126442243
215,5.19295685089021
216,3.5553480614894135
217,4.700480365792417
218,4.605170185988092
219,4.0943445622221
220,4.605170185988092
221,4.912654885736052
222,4.290459441148391
223,3.5553480614894135
224,4.605170185988092
225,4.219507705176107
226,4.007333185232471
227,4.442651256490317
228,3.912023005428146
229,4.59511985013459
230,4.248495242049359
231,5.204006687076795
232,4.174387269895637
233,4.0943445622221
234,4.248495242049359
235,3.6109179126442243
236,4.382026634673881
237,4.0943445622221
238,3.367295829986474
239,3.912023005428146
240,3.4011973816621555
241,4.553876891600541
242,4.499809670330265
